run_id,test_name,fleet_name,provisioning_time,instance_type,region_az,quantity,price,total_price,avg_price_test,allocated_instances
1,Multi-Cloud-AWS-Azure-Lowest-Price-N100,AZURE-FVBR-FLEET-1,111.59,Standard_D2ads_v5,brazilsouth-1,100,0.028594,2.8594,0.028593999999999998,100
2,Multi-Cloud-AWS-Azure-Lowest-Price-N100,AZURE-FVBR-FLEET-1,114.25,Standard_D2ads_v5,brazilsouth-1,100,0.028594,2.8594,0.028593999999999998,100
3,Multi-Cloud-AWS-Azure-Lowest-Price-N100,AZURE-FVBR-FLEET-1,114.28,Standard_D2ads_v5,brazilsouth-1,100,0.028594,2.8594,0.028593999999999998,100
mean,Multi-Cloud-AWS-Azure-Lowest-Price-N100,,113.37333333333333,,,,,,0.028593999999999998,100
