run_id,test_name,fleet_name,provisioning_time,instance_type,region_az,quantity,price,total_price,avg_price_test,allocated_instances
1,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,94.82,t2.large,sa-east-1a,123,0.0392,4.8216,0.06263233695652173,368
1,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,94.82,m5zn.large,sa-east-1b,39,0.0934,3.6426,0.06263233695652173,368
1,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,94.82,r5.large,sa-east-1b,83,0.0754,6.2581999999999995,0.06263233695652173,368
1,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,94.82,m5d.large,sa-east-1c,37,0.0488,1.8056,0.06263233695652173,368
1,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,94.82,r5ad.large,sa-east-1c,5,0.0792,0.396,0.06263233695652173,368
1,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,94.82,m5ad.large,sa-east-1c,65,0.0783,5.089499999999999,0.06263233695652173,368
1,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,94.82,r5d.large,sa-east-1c,16,0.0647,1.0352,0.06263233695652173,368
2,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,95.98,t2.large,sa-east-1a,123,0.0401,4.9323,0.06005298913043478,368
2,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,95.98,r5.large,sa-east-1b,122,0.0754,9.198799999999999,0.06005298913043478,368
2,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,95.98,m5d.large,sa-east-1c,46,0.0496,2.2816,0.06005298913043478,368
2,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,95.98,r5d.large,sa-east-1c,24,0.0647,1.5528,0.06005298913043478,368
2,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,95.98,m5ad.large,sa-east-1c,53,0.078,4.134,0.06005298913043478,368
3,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,107.05,t2.large,sa-east-1a,123,0.0405,4.9815000000000005,0.060333152173913045,368
3,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,107.05,r5.large,sa-east-1b,122,0.0757,9.2354,0.060333152173913045,368
3,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,107.05,m5d.large,sa-east-1c,44,0.0514,2.2616,0.060333152173913045,368
3,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,107.05,r5d.large,sa-east-1c,38,0.0668,2.5383999999999998,0.060333152173913045,368
3,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,AWS-FVBR-FLEET-1,107.05,m5ad.large,sa-east-1c,41,0.0777,3.1857,0.060333152173913045,368
mean,Single-Cloud-AWS-sa-east-1-Lowest-Price-N400,,98.75823529411765,,,,,,0.06119747442455242,368
