InstanceType,vCPUs
m6idn.large,2
r8i.large,2
m5dn.large,2
i7i.large,2
r6in.large,2
r7a.large,2
c7a.large,2
m5n.large,2
r5dn.large,2
r6idn.large,2
r6id.large,2
m6in.large,2
z1d.large,2
m8i.large,2
r8i-flex.large,2
m8i-flex.large,2
r6a.large,2
m7a.large,2
i7ie.large,2
r7iz.large,2
