run_id,test_name,fleet_name,provisioning_time,instance_type,region_az,quantity,price,total_price,avg_price_test,allocated_instances
1,Single-Cloud-AWS-us-east-1-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,22.27,m7i.24xlarge,us-east-1a,5,1.7049,8.5245,1.6269500000000001,10
1,Single-Cloud-AWS-us-east-1-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,22.27,m5.24xlarge,us-east-1b,5,1.549,7.744999999999999,1.6269500000000001,10
2,Single-Cloud-AWS-us-east-1-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,20.44,m5.24xlarge,us-east-1b,10,1.5345,15.344999999999999,1.5345,10
3,Single-Cloud-AWS-us-east-1-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,20.66,m5.24xlarge,us-east-1b,10,1.5371,15.370999999999999,1.5371,10
mean,Single-Cloud-AWS-us-east-1-Capacity-Optimized-N10,,21.41,,,,,,1.581375,10
